symbol,decision_time,as_of_time,side,weight,max_hold_bars,metadata
BTC-PERP,2026-01-12T16:01:00+00:00,2026-01-12T16:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 111.92588455773756, ""funding_pressure_bps"": 1.5702, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2026-01-12T16:01:00+00:00,2026-01-12T16:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 172.7306137449469, ""funding_pressure_bps"": 1.2658, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2026-01-12T20:01:00+00:00,2026-01-12T20:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 2.5432349949139343, ""funding_pressure_bps"": 2.3091, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2026-01-12T20:01:00+00:00,2026-01-12T20:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 20.29573789504191, ""funding_pressure_bps"": 1.2658, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2026-01-13T04:01:00+00:00,2026-01-13T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 54.38764674174479, ""funding_pressure_bps"": 3.0715000000000003, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2026-01-13T04:01:00+00:00,2026-01-13T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 20.64062380552123, ""funding_pressure_bps"": 1.9726000000000001, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2026-01-13T04:01:00+00:00,2026-01-13T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 22.407064970615398, ""funding_pressure_bps"": 1.3276999999999999, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2026-01-13T16:01:00+00:00,2026-01-13T16:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 143.0105505332624, ""funding_pressure_bps"": 3.4003, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2026-01-13T16:01:00+00:00,2026-01-13T16:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 159.48167097374676, ""funding_pressure_bps"": 2.1448, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2026-01-13T16:01:00+00:00,2026-01-13T16:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 186.10235629596295, ""funding_pressure_bps"": 1.9726000000000001, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2026-01-13T16:01:00+00:00,2026-01-13T16:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 183.53885861772446, ""funding_pressure_bps"": 1.0135, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
