symbol,decision_time,as_of_time,side,weight,max_hold_bars,metadata
ETH-PERP,2025-11-01T16:01:00+00:00,2025-11-01T16:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 59.06747800472844, ""funding_pressure_bps"": 3.0274, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2025-11-01T16:01:00+00:00,2025-11-01T16:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 29.996250468691255, ""funding_pressure_bps"": 2.9165, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-11-02T04:01:00+00:00,2025-11-02T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 42.16938034438344, ""funding_pressure_bps"": 4.4474, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2025-11-02T04:01:00+00:00,2025-11-02T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 28.799594634072445, ""funding_pressure_bps"": 2.9185000000000003, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2025-11-02T08:01:00+00:00,2025-11-02T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 39.78084306040852, ""funding_pressure_bps"": 4.6132, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-11-02T08:01:00+00:00,2025-11-02T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 35.77235772357801, ""funding_pressure_bps"": 3.7849, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-11-03T08:01:00+00:00,2025-11-03T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 69.8324022346375, ""funding_pressure_bps"": 1.2793999999999999, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2025-11-03T12:01:00+00:00,2025-11-03T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 51.74337673581775, ""funding_pressure_bps"": 3.4936, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-11-03T12:01:00+00:00,2025-11-03T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 56.373316630127235, ""funding_pressure_bps"": 1.2329, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2025-11-04T08:01:00+00:00,2025-11-04T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 21.387449625791533, ""funding_pressure_bps"": 3.3914999999999997, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
